한자형태,요미가나,한자[요미가나],한글뜻,연도
笑う,わらう,笑[わら]う,웃다,2012
合図,あいず,合[あい]図[ず],"(눈짓, 몸짓, 소리) 신호",2012
汗,あせ,汗[あせ],땀,2012
以降,いこう,以[い]降[こう],이후,2012
笑顔,えがお,笑[え]顔[がお],웃는 얼굴,2012
横断,おうだん,横[おう]断[だん],횡단,2012
固い,かたい,固[かた]い,"단단하다, 굳다",2012
完成,かんせい,完[かん]成[せい],완성,2012
配る,くばる,配[くば]る,"분배하다, 배포하다",2012
外科,げか,外[げ]科[か],외과,2012
困る,こまる,困[こま]る,곤란하다,2012
島,しま,島[しま],섬,2012
示す,しめす,示[しめ]す,"가리키다, 보이다, 나타내다",2012
卒業,そつぎょう,卒[そつ]業[ぎょう],졸업,2012
他人,たにん,他[た]人[にん],타인,2012
平日,へいじつ,平[へい]日[じつ],평일,2012
短い,みじかい,短[みじか]い,짧다,2012
応募,おうぼ,応[おう]募[ぼ],응모,2011
遅れる,おくれる,遅[おく]れる,늦다,2011
折る,おる,折[お]る,"굽히다, 접다",2011
返す,かえす,返[かえ]す,"돌려주다, 돌려주다",2011
価格,かかく,価[か]格[かく],가격,2011
過去,かこ,過[か]去[こ],과거,2011
疑問,ぎもん,疑[ぎ]問[もん],의문,2011
協力,きょうりょく,協[きょう]力[りょく],협력,2011
首都,しゅと,首[しゅ]都[と],수도,2011
情報,じょうほう,情[じょう]報[ほう],정보,2011
単語,たんご,単[たん]語[ご],단어,2011
地球,ちきゅう,地[ち]球[きゅう],지구,2011
到着,とうちゃく,到[とう]着[ちゃく],도착,2011
発表,はっぴょう,発[はっ]表[ぴょう],발표,2011
表面,ひょうめん,表[ひょう]面[めん],표면,2011
深い,ふかい,深[ふか]い,깊다,2011
表す,あらわす,表[あらわ]す,나타내다,2010
息,いき,息[いき],숨,2010
岩,いわ,岩[いわ],바위,2010
移す,うつす,移[うつ]す,옮기다,2010
空席,くうせき,空[くう]席[せき],공석,2010
組む,くむ,組[くむ],짜다,2010
苦労,くろう,苦[く]労[ろう],고생,2010
件,けん,件[けん],"건, 사항",2010
失業,しつぎょう,失[しつ]業[ぎょう],실업,2010
順番,じゅんばん,順[じゅん]番[ばん],"순번, 차례",2010
通勤,つうきん,通[つう]勤[きん],통근,2010
包む,つつむ,包[つつ]む,"싸다, 포장하다",2010
得意だ,とくいだ,得[とく]意[い]だ,잘하다,2010
努力,どりょく,努[ど]力[りょく],노력,2010
発見,はっけん,発[はっ]見[けん],발견,2010
夫婦,ふうふ,夫[ふう]婦[ふ],부부,2010
